resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R027,JOB005,R027_CF_EXPERIENCE,experience,108,0.537404,0.537837,0.0004330000000000167
R028,JOB006,R028_CF_NAME,name,Ananya Iyer,0.543176,0.547587,0.004411000000000054
R028,JOB006,R028_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.543176,0.543015,-0.00016099999999996673
R028,JOB006,R028_CF_CITY,city,Ahmedabad,0.543176,0.543177,1.0000000000287557e-06
R028,JOB006,R028_CF_DEGREE,degree,M.E.,0.543176,0.472588,-0.07058799999999998
R028,JOB006,R028_CF_COURSE,course,Criminology,0.543176,0.454875,-0.08830100000000002
R028,JOB006,R028_CF_AGE,age,35,0.543176,0.543176,0.0
R028,JOB006,R028_CF_EXPERIENCE,experience,76,0.543176,0.543176,0.0
R029,JOB021,R029_CF_NAME,name,Ishita Chopra,0.566342,0.568343,0.0020010000000000305
R029,JOB021,R029_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.566342,0.569978,0.0036359999999999726
R029,JOB021,R029_CF_CITY,city,Kolkata,0.566342,0.568595,0.0022529999999999495
R029,JOB021,R029_CF_DEGREE,degree,MCA,0.566342,0.571097,0.004754999999999954
R029,JOB021,R029_CF_COURSE,course,Computer Technology,0.566342,0.49981,-0.06653200000000004
R029,JOB021,R029_CF_AGE,age,35,0.566342,0.572117,0.005774999999999975
R029,JOB021,R029_CF_EXPERIENCE,experience,108,0.566342,0.570809,0.004466999999999999
R030,JOB009,R030_CF_NAME,name,Ishita Chopra,0.657458,0.656872,-0.0005859999999999754
R030,JOB009,R030_CF_COLLEGE,college,BITS Pilani,0.657458,0.655959,-0.001499000000000028
R030,JOB009,R030_CF_CITY,city,Delhi,0.657458,0.657079,-0.0003790000000000182
R030,JOB009,R030_CF_DEGREE,degree,BCA,0.657458,0.58687,-0.07058799999999998
R030,JOB009,R030_CF_COURSE,course,Hospitality Management,0.657458,0.586967,-0.07049099999999997
R030,JOB009,R030_CF_AGE,age,40,0.657458,0.657458,0.0
R030,JOB009,R030_CF_EXPERIENCE,experience,108,0.657458,0.657448,-9.99999999995449e-06
R031,JOB013,R031_CF_NAME,name,Arjun Sharma,0.481812,0.484054,0.0022419999999999662
R031,JOB013,R031_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.481812,0.481068,-0.0007440000000000224
R031,JOB013,R031_CF_CITY,city,Mumbai,0.481812,0.482015,0.00020300000000000873
R031,JOB013,R031_CF_DEGREE,degree,M.Tech,0.481812,0.488281,0.0064690000000000025
R031,JOB013,R031_CF_COURSE,course,Marketing,0.481812,0.397269,-0.08454300000000003
